package_name,download_count
py-geohash-any,242
gismeteopy,242
docker-registry-driver-oss,241
odoo11-addon-base-location-geonames-import,241
odoo9-addon-l10n-it-base-location-geonames-import,240
fh-django-registrations,240
celery-geolocator,239
aio-geojson-nsw-transport-incidents,239
mongo-to-geojson,238
django-geoip-redirection,238
ggeocode,237
cognitivegeo,237
akiokio-django-geoposition,235
d9t-gis,234
geo-street-talk,234
geographiclib-cython-bindings,234
wsgistraw,234
django-registration-me,234
geoffrey-todo,234
haggis,234
geonames-rdf,233
geo-frac-analysis,232
pygeodb,232
odoo8-addon-geoengine-project,231
phgeograpy,230
geojoin,229
docker-registry-driver-sinastorage,228
django-2gis-maps,228
geolucidate,225
pyedgeon,225
geotrimesh,223
homingpigeon,222
pygeo,222
geogotchi,222
planegeometry,221
ir-jageo,221
pyspatialite,221
django-admin-autoregister,221
zgeo-geographer,220
pyborgeous,220
p01-geo,220
idq-geo,219
odoo12-addon-event-registration-multi-qty,219
genialbiologists,218
geoextract,218
geopurify,217
dogeon,216
cob-arcgis-geocoder,215
geotrigger-python,214
keras-spatial,214
qth-registrar,214
geo-cache-client,214
docker-registry-cleaner,214
nx-spatial,213
geostatsmodels,213
utils-flask-sqlalchemy-geo,213
larpix-geometry,211
pygeoyandex,210
odoo12-addon-l10n-it-vat-registries-split-payment,210
py-registry,208
younggis,208
neathgeohash,208
geograpy2,208
shape2geosparql,207
geo-factory,207
odoo10-addons-oca-stock-logistics-reporting,206
docker-registry-purger,206
tzgeo,205
odoo11-addon-event-registration-mass-mailing,205
pengeomgen,205
django-geosimple,205
docker-registry-admin,202
subclass-register,202
geocircle,202
interlegis-recipe-sapl,201
geotool,201
pygeostat,200
odoo9-addon-base-geoengine,200
odoo10-addons-oca-geospatial,200
django-registrable-choices,200
collective-tiles-githubgist,199
geomark,199
geoip2nation,199
geo-python,199
gottengeography,198
salt-geo,198
wasabi-geom,198
airflow-arcgis-plugin,197
geonode-worldmap,197
geodis,197
georeverse,197
odoo9-addon-l10n-fr-base-location-geonames-import,196
odoo8-addon-l10n-fr-base-location-geonames-import,196
fastgeo,196
gismeteoscraper,196
multi-label-pigeon,196
geocoord,196
collective-geo-fastkml,195
django-geo-timezones,195
qgeo,195
gisty,195
django-appregister,194
interlegis-intranetmodelo-departments,194
dj-geocoding,194
geobricksmetadatamanager,193
geotoys,193
registrycleaner,193
odoo12-addons-oca-geospatial,193
odoo12-addon-base-geoengine-demo,193
register-apps,192
polygeohash,191
odoo8-addon-base-location-geonames-import,191
geolocator,191
py-configs-registry,190
aliyun-python-sdk-aegis,190
aegisblade,190
geokit,189
swampy-spatial-datacube,189
geoshaper,189
tiddlywebplugins-geofilters,188
collective-portlet-geo,188
django-geocoder,188
django-maploom-registry,188
geo-stars,188
geo-sampling,187
geodestic,187
geoffrey-pytest,187
geolocation,187
docker-register,187
zgeo-atom,187
ggeocoder,186
girder-geo-heatmap,186
ansible-role-container-registry,185
googeo,185
pythonloginandregister,185
statick-rosm-registry,185
docker-registry-driver-ufile,185
geodjango-tigerline,184
django-registration-paypal,184
gisgroup-statbank,183
uriregistry,183
geordi,183
igist,183
gocept-registration,183
golangish,182
geocloud-es,182
geometrica,182
georefdata,181
pgeotrmm,181
georich,181
csv-to-geojson,181
geoffsmodule,181
txserviceregistry,181
aidungeon,180
registrasion,179
geometric2dr,179
geocrawl,178
roax-postgis,177
mommy-spatial-generators,177
gist-magic,177
dungeongen,177
pgsql2gist,177
pyimageoptimizer,176
cogeo-mosaic,176
powerpigeon,175
aegis-model,175
geometricmd,175
django-class-registry,175
zgeo-spatialindex,174
gistore,174
openlegis-recipe-sagl,174
odoo11-addon-l10n-it-vat-registries,173
odoo8-addons-oca-stock-logistics-reporting,172
odoo10-addon-base-geoengine-demo,172
odoo9-addons-oca-stock-logistics-reporting,172
odoo9-addons-oca-geospatial,172
odoo10-addon-event-registration-multi-qty,172
pysxgeo,171
odoo13-addon-geoengine-base-geolocalize,170
